numero,jogador,selecao
8,Mohammad Abualnadi,Jordânia
9,Husam Abu Dahab,Jordânia
10,Ihsan Haddad,Jordânia
11,Anas Badawi,Jordânia
12,Mohannad Abu Taha,Jordânia
13,Mohammad Abu Hashish,Jordânia
14,Mohammad Abu Ghoush,Jordânia
15,Nour Al-Rawabdeh,Jordânia
16,Nizar Al-Rashdan,Jordânia
17,Ibrahim Sadeh,Jordânia
18,Rajaei Ayed,Jordânia
19,Odeh Fakhouri,Jordânia
20,Amer Jamous,Jordânia
21,Mohammad Al-Dawoud,Jordânia
22,Mahmoud Al-Mardi,Jordânia
23,Musa Al-Taamari,Jordânia
24,Mohammad Abu Zrayq,Jordânia
25,Ali Al-Azaizeh,Jordânia
26,Ali Olwan,Jordânia
1,Bounou,Marrocos
2,El Kajoui,Marrocos
3,Tagnaouti,Marrocos
4,Mazraoui,Marrocos
5,Salah-Eddine,Marrocos
6,Belammari,Marrocos
7,Hakimi,Marrocos
8,El Ouahdi,Marrocos
9,Marwane Saadane,Marrocos
10,Riad,Marrocos
11,Halhal,Marrocos
12,Diop,Marrocos
13,El Mourabet,Marrocos
14,Bouaddi,Marrocos
15,El Aynaoui,Marrocos
16,Amrabat,Marrocos
17,Ounahi,Marrocos
18,El Khannouss,Marrocos
19,Saibari,Marrocos
20,Sbai,Marrocos
21,Talbi,Marrocos
22,Rahimi,Marrocos
23,El Kaabi,Marrocos
24,Brahim Díaz,Marrocos
25,Gessime,Marrocos
26,Echghouyabe,Marrocos
1,Raúl Rangel,México
2,Carlos Acevedo,México
3,Guillermo Ochoa,México
4,Jorge Sánchez,México
5,César Montes,México
6,Edson Álvarez,México
7,Joah Vásquez,México
8,Erik Lira,México
9,Luis Romo,México
10,Israel Reyes,México
11,Mateo Chávez,México
12,Jesús Gallardo,México
13,Álvaro Fidalgo,México
14,Orbelín Pineda,México
15,Obed Vargas,México
16,Gilberto Mora,México
17,César Huerta,México
18,Luis Chávez,México
19,Roberto Alvarado,México
20,Brian Gutiérrez,México
21,Raúl Jiménez,México
22,Alexis Veja,México
23,Santiago Giménez,México
24,Armando González,México
25,Julián Quiñones,México
26,Guillermo Martínez,México
1,Egil Selvik,Noruega
2,Orjan Nyland,Noruega
3,Sander Tangvik,Noruega
4,Kristoffer Ajer,Noruega
5,Fredrik Bjorkan,Noruega
6,Henrik Falchener,Noruega
7,Sondre Langas,Noruega
8,Torbjorn Heggem,Noruega
9,Holmgren Pedersen,Noruega
10,Julian Ryerson,Noruega
11,Leo Ostigard,Noruega
12,David Moller,Noruega
13,Martin Odegaard,Noruega
14,Patrick Berg,Noruega
15,Kristian Thorstvedt,Noruega
16,Thelo Aasgaard,Noruega
17,Fredrik Aursnes,Noruega
18,Sander Berge,Noruega
19,Morten Thorsby,Noruega
20,Strand Larsen,Noruega
21,Oscar Bobb,Noruega
22,Erling Haaland,Noruega
23,Andreas Schjelderup,Noruega
24,Jens Petter Hauge,Noruega
25,Antonio Nusa,Noruega
26,Alexander Sorloth,Noruega
1,Max Crocombe,Nova Zelândia
2,Alex Paulsen,Nova Zelândia
3,Michael Woud,Nova Zelândia
4,Tyler Bindon,Nova Zelândia
5,Michael Boxall,Nova Zelândia
6,Liberato Cacace,Nova Zelândia
7,Francis de Vries,Nova Zelândia
8,Callan Elliot,Nova Zelândia
9,Tim Payne,Nova Zelândia
10,Nando Pijnaker,Nova Zelândia
11,Tommy Smith,Nova Zelândia
12,Finn Surman,Nova Zelândia
13,Lachlan Bayliss,Nova Zelândia
14,Joe Bell,Nova Zelândia
15,Logan Rogerson,Nova Zelândia
16,Ben Old,Nova Zelândia
17,Alex Rufer,Nova Zelândia
18,Sarpreet Singh,Nova Zelândia
19,Marko Stamenic,Nova Zelândia
20,Ryan Thomas,Nova Zelândia
21,Kosta Barbarouses,Nova Zelândia
22,Eli Just,Nova Zelândia
23,Callum McCowatt,Nova Zelândia
24,Jesse Randall,Nova Zelândia
25,Ben Waine,Nova Zelândia
26,Chris Wood,Nova Zelândia
1,Orlando Mosquera,Panamá
2,Luis Mejía,Panamá
3,César Samudio,Panamá
4,César Blackman,Panamá
5,Jorge Gutiérrez,Panamá
6,Amir Murillo,Panamá
7,Fidel Escobar,Panamá
8,Andrés Andrade,Panamá
9,Edgardo Fariña,Panamá
10,José Córdoba,Panamá
11,Eric David,Panamá
12,Jiovany Ramos,Panamá
13,Roderick Miller,Panamá
14,Aníbal Godoy,Panamá
15,Adalberto Carrasquilla,Panamá
16,Carlos Harvey,Panamá
17,Cristian Martínez,Panamá
18,José Luis Rodríguez,Panamá
19,César Yanis,Panamá
20,Yoel Bárcenas,Panamá
21,Alberto Quintero,Panamá
22,Azarías Londoño,Panamá
23,Ismael Díaz,Panamá
24,Cecilio Waterman,Panamá
25,José Fajardo,Panamá
26,Tomás Rodríguez,Panamá
1,Orlando Gill,Paraguai
2,Gatito Fernández,Paraguai
3,Gastón Olveira,Paraguai
4,Juan Cáceres,Paraguai
5,José Canale,Paraguai
6,Fabián Balbuena,Paraguai
7,Omar Alderete,Paraguai
8,Gustavo Gómez,Paraguai
9,Alexandro Maidana,Paraguai
10,Junior Alonso,Paraguai
11,Gustavo Velázquez,Paraguai
12,Braian Ojeda,Paraguai
13,Damián Bobadilla,Paraguai
14,Andrés Cubas,Paraguai
15,Diego Gómez,Paraguai
16,Alejandro Romero Gamarra,Paraguai
17,Mauricio,Paraguai
18,Matías Galarza,Paraguai
19,Gustavo Caballero,Paraguai
20,Ramón Sosa,Paraguai
21,Miguel Almirón,Paraguai
22,Gabriel Ávalos,Paraguai
23,Isidro Pitta,Paraguai
24,Álex Arce,Paraguai
25,Julio Enciso,Paraguai
26,Antonio Sanabria,Paraguai
1,Diogo Costa,Portugal
2,José Sá,Portugal
3,Rui Silva,Portugal
4,Diogo Dalot,Portugal
5,Matheus Nunes,Portugal
6,Nélson Semedo,Portugal
7,João Cancelo,Portugal
8,Nuno Mendes,Portugal
9,Gonçalo Inácio,Portugal
10,Renato Veiga,Portugal
11,Rúben Dias,Portugal
12,Tomás Araújo,Portugal
13,Rúben Neves,Portugal
14,Samuel Costa,Portugal
15,João Neves,Portugal
16,Vitinha,Portugal
17,Bruno Fernandes,Portugal
18,Bernardo Silva,Portugal
19,João Félix,Portugal
20,Trincão,Portugal
21,Francisco Conceição,Portugal
22,Pedro Neto,Portugal
23,Rafael Leão,Portugal
24,Gonçalo Guedes,Portugal
25,Gonçalo Ramos,Portugal
26,Cristiano Ronaldo,Portugal
1,Timothy Fayulu,RD Congo
2,Lionel Mpasi,RD Congo
3,Matthieu Epolo,RD Congo
4,Aaron Wan-Bissaka,RD Congo
5,Gédéon Kalulu,RD Congo
6,Joris Kayembe,RD Congo
7,Arthur Masuaku,RD Congo
8,Steve Kapuadi,RD Congo
9,Axel Tuanzebe,RD Congo
10,Chancel Mbemba,RD Congo
11,Dylan Batubinsika,RD Congo
12,Noah Sadiki,RD Congo
13,Samuel Moutoussamy,RD Congo
14,Aaron Tshibola,RD Congo
15,Edo Kayembe,RD Congo
16,Ngal'ayel Mukau,RD Congo
17,Charles Pickel,RD Congo
18,Nathanael Mbuku,RD Congo
19,Brian Cipenga,RD Congo
20,Theo Bongonda,RD Congo
21,Gael Kakuta,RD Congo
22,Meschack Elia,RD Congo
23,Fiston Mayele,RD Congo
24,Cédric Bakambu,RD Congo
25,Simon Banza,RD Congo
26,Yoane Wissa,RD Congo
1,Lukáš Horníček,República Tcheca
2,Matěj Kovář,República Tcheca
3,Jindřich Staněk,República Tcheca
4,Vladimír Coufal,República Tcheca
5,David Douděra,República Tcheca
6,Tomáš Holeš,República Tcheca
7,Robin Hranáč,República Tcheca
8,Štěpán Chaloupek,República Tcheca
9,David Jurásek,República Tcheca
10,Ladislav Krejčí,República Tcheca
11,Jaroslav Zelený,República Tcheca
12,David Zima,República Tcheca
13,Lukáš Červ,República Tcheca
14,Vladimír Darida,República Tcheca
15,Lukáš Provod,República Tcheca
16,Michal Sadílek,República Tcheca
17,Hugo Sochůrek,República Tcheca
18,Alexandr Sojka,República Tcheca
19,Tomáš Souček,República Tcheca
20,Pavel Šulc,República Tcheca
21,Denis Višinský,República Tcheca
22,Adam Hložek,República Tcheca
23,Tomáš Chorý,República Tcheca
24,Mojmír Chytil,República Tcheca
25,Patrik Schick,República Tcheca
26,Jan Kuchta,República Tcheca
1,Édouard Mendy,Senegal
2,Mory Diaw,Senegal
3,Yehvann Diouf,Senegal
4,Krépin Diatta,Senegal
5,Antoine Mendy,Senegal
6,Kalidou Koulibaly,Senegal
7,El Hadji Malich Diouf,Senegal
8,Mamadou Sarr,Senegal
9,Moussa Niakhaté,Senegal
10,Abdoulaye Seck,Senegal
11,Ismail Jakobs,Senegal
12,Idrissa Gana Gueye,Senegal
13,Pape Gueye,Senegal
14,Lamine Camara,Senegal
15,Habib Diarra,Senegal
16,Pathé Ciss,Senegal
17,Pape Matar Sarr,Senegal
18,Bara Sapoko Ndiaye,Senegal
19,Sadio Mané,Senegal
20,Ismaila Sarr,Senegal
21,Iliman Ndiaye,Senegal
22,Assane Diao,Senegal
23,Ibrahim Mbaye,Senegal
24,Nicolas Jackson,Senegal
25,Bamba Dieng,Senegal
26,Chérif Ndiaye,Senegal
1,Viktor Johansson,Suécia
2,Kristoffer Nordfeldt,Suécia
3,Jacob Widell Zetterström,Suécia
4,Hjalmar Ekdal,Suécia
5,Gabriel Gudmundsson,Suécia
6,Isak Hien,Suécia
7,Herman Johansson,Suécia
8,Gustaf Lagerbielke,Suécia
9,Victor Nilsson Lindelöf,Suécia
10,Eric Smith,Suécia
11,Carl Starfelt,Suécia
12,Elliot Stroud,Suécia
13,Daniel Svensson,Suécia
14,Taha Ali,Suécia
15,Yasin Ayari,Suécia
16,Lucas Bergvall,Suécia
17,Alexander Bernhardsson,Suécia
18,Anthony Elanga,Suécia
19,Viktor Gyökeres,Suécia
20,Alexander Isak,Suécia
21,Jesper Karlström,Suécia
22,Gustaf Nilsson,Suécia
23,Benjamin Nygren,Suécia
24,Ken Sema,Suécia
25,Mattias Svanberg,Suécia
26,Besfort Zeneli,Suécia
1,Marvin Keller,Suíça
2,Gregor Kobel,Suíça
3,Yvon Mvogo,Suíça
4,Manuel Akanji,Suíça
5,Aurèle Amenda,Suíça
6,Eray Comert,Suíça
7,Nico Elvedi,Suíça
8,Luca Jaquez,Suíça
9,Miro Muheim,Suíça
10,Ricardo Rodriguez,Suíça
11,Silvan Widmer,Suíça
12,Michel Aebischer,Suíça
13,Zeki Amdouni,Suíça
14,Breel Embolo,Suíça
15,Christian Fassnacht,Suíça
16,Remo Freuler,Suíça
17,Cedric Itten,Suíça
18,Ardon Jashari,Suíça
19,Johan Manzambi,Suíça
20,Dan Ndoye,Suíça
21,Noah Okafor,Suíça
22,Fabian Rieder,Suíça
23,Djibril Sow,Suíça
24,Ruben Vargas,Suíça
25,Grant Xhaka,Suíça
26,Denis Zakaria,Suíça
1,Dahmen,Tunísia
2,Chamakh,Tunísia
3,Ben Hassen,Tunísia
4,Valery,Tunísia
5,Neffati,Tunísia
6,Bronn,Tunísia
7,Talbi,Tunísia
8,Rekik,Tunísia
9,Arous,Tunísia
10,Chikhaoui,Tunísia
11,Abdi,Tunísia
12,Ben Hmida,Tunísia
13,Skhiri,Tunísia
14,Mahmoud,Tunísia
15,Khedira,Tunísia
16,Ben Silmane,Tunísia
17,Ben Ouanes,Tunísia
18,Gharbi,Tunísia
19,Hannibal,Tunísia
20,Ayari,Tunísia
21,Achouri,Tunísia
22,Saad,Tunísia
23,Chaouat,Tunísia
24,Mastoui,Tunísia
25,Elloumi,Tunísia
26,Tonekti,Tunísia
1,Altay Bayindir,Turquia
2,Mert Günok,Turquia
3,Ugurcan Cakir,Turquia
4,Abdulkerim Bardakci,Turquia
5,Caglar Soyuncu,Turquia
6,Eren Elmalı,Turquia
7,Ferdi Kadıoğlu,Turquia
8,Merih Demiral,Turquia
9,Mert Müldür,Turquia
10,Ozan Kabak,Turquia
11,Samet Akaydin,Turquia
12,Zeki Celik,Turquia
13,Hakan Calhanoglu,Turquia
14,Ismail Yuksek,Turquia
15,Kaan Ayhan,Turquia
16,Orkun Kökçü,Turquia
17,Salih Ozcan,Turquia
18,Arda Güler,Turquia
19,Barış Alper Yılmaz,Turquia
20,Can Uzun,Turquia
21,Deniz Gül,Turquia
22,Irfan Can Kahveci,Turquia
23,Kenan Yıldız,Turquia
24,Kerem Akturkoglu,Turquia
25,Oguz Aydin,Turquia
26,Yunus Akgun,Turquia
1,Sergio Rochet,Uruguai
2,Fernando Muslera,Uruguai
3,Santiago Mele,Uruguai
4,Guillermo Varela,Uruguai
5,Ronald Araujo,Uruguai
6,José María Giménez,Uruguai
7,Santiago Bueno,Uruguai
8,Sebastián Cáceres,Uruguai
9,Mathías Olivera,Uruguai
10,Joaquín Piquerez,Uruguai
11,Matías Viña,Uruguai
12,Manuel Ugarte,Uruguai
13,Emiliano Martínez,Uruguai
14,Rodrigo Bentancur,Uruguai
15,Federico Valverde,Uruguai
16,Agustín Canobbio,Uruguai
17,Juan Manuel Sanabria,Uruguai
18,Giorgian De Arrascaeta,Uruguai
19,Nicolás de la Cruz,Uruguai
20,Rodrigo Zalazar,Uruguai
21,Facundo Pellistri,Uruguai
22,Maximiliano Araújo,Uruguai
23,Brian Rodríguez,Uruguai
24,Rodrigo Aguirre,Uruguai
25,Federico Viñas,Uruguai
26,Darwin Núñez,Uruguai
1,Otkir Yusupov,Uzbequistão
2,Abduvohid Nematov,Uzbequistão
3,Botirali Ergashev,Uzbequistão
4,Abdukodir Husanov,Uzbequistão
5,Hojiakbar Alijonov,Uzbequistão
6,Farruh Sayfiyev,Uzbequistão
7,Rustam Ashurmatov,Uzbequistão
8,Umar Eshmurodov,Uzbequistão
9,Sherzod Nasrullayev,Uzbequistão
10,Abdulla Abdullayev,Uzbequistão
11,Avazbek Olmasaliyev,Uzbequistão
12,Jahongir Orozov,Uzbequistão
13,Behruz Karimov,Uzbequistão
14,Akmal Mozgovoy,Uzbequistão
15,Otabek Shukurov,Uzbequistão
16,Jamshid Iskanderov,Uzbequistão
17,Odil Hamrobekov,Uzbequistão
18,Ruslanbek Jiyanov,Uzbequistão
19,Oston O'runov,Uzbequistão
20,Dostonbek Hamdamov,Uzbequistão
21,Aziz G'aniyev,Uzbequistão
22,Abbosbek Fayzullayev,Uzbequistão
23,Sherzod Esanov,Uzbequistão
24,Eldor Shomurodov,Uzbequistão
25,Igor Sergeyev,Uzbequistão
26,Azizbek Omonov,Uzbequistão
