numero,jogador,selecao
2,Florian Wiegele,Áustria
3,Patrick Pentz,Áustria
4,David Affengruber,Áustria
5,Kevin Danso,Áustria
6,Stefan Posch,Áustria
7,David Alaba,Áustria
8,Philipp Lienhart,Áustria
9,Phillipp Mwene,Áustria
10,Alexander Prass,Áustria
11,Marco Friedl,Áustria
12,Michael Svoboda,Áustria
13,Xaver Schlager,Áustria
14,Nicolas Seiwald,Áustria
15,Marcel Sabitzer,Áustria
16,Florian Grillitsch,Áustria
17,Carney Chukwuemeka,Áustria
18,Romano Schmid,Áustria
19,Ljubicic,Áustria
20,Konrad Laimer,Áustria
21,Patrick Wimmer,Áustria
22,Paul Wanner,Áustria
23,Alessandro Schopf,Áustria
24,Marko Arnautović,Áustria
25,Michael Gregoritsch,Áustria
26,Sasa Kalajdzic,Áustria
1,Courtois,Bélgica
2,Lammens,Bélgica
3,Mike Penders,Bélgica
4,Timothy Castagne,Bélgica
5,Zeno Debast,Bélgica
6,Koni De Winter,Bélgica
7,Brandon Mechele,Bélgica
8,Arthur Theate,Bélgica
9,Maxim De Cuyper,Bélgica
10,Thomas Meunier,Bélgica
11,Nathan Ngoy,Bélgica
12,Joaquin Seys,Bélgica
13,Kevin De Bruyne,Bélgica
14,Amadou Onana,Bélgica
15,Nicolas Raskin,Bélgica
16,Youri Tielemans,Bélgica
17,Hans Vanaken,Bélgica
18,Axel Witsel,Bélgica
19,Charles De Ketelaere,Bélgica
20,Mathias Fernandez-Pardo,Bélgica
21,Jeremy Doku,Bélgica
22,Romelu Lukaku,Bélgica
23,Alexis Saelemaekers,Bélgica
24,Leandro Trossard,Bélgica
25,Dodi Lukebakio,Bélgica
26,Diego Moreira,Bélgica
1,Nikola Vasilj,Bósnia
2,Martin Zlomislic,Bósnia
3,Mladen Jurkas,Bósnia
4,Sead Kolasinac,Bósnia
5,Amar Dedic,Bósnia
6,Nihad Mujakic,Bósnia
7,Nikola Katic,Bósnia
8,Tarik Muharemovic,Bósnia
9,Stjepan Radeljic,Bósnia
10,Dennis Hadzikadunic,Bósnia
11,Arjan Malić,Bósnia
12,Amir Hadziahmetovic,Bósnia
13,Ivan Sunjic,Bósnia
14,Ivan Basic,Bósnia
15,Dzenis Burnic,Bósnia
16,Benjamin Tahirovic,Bósnia
17,Amar Memic,Bósnia
18,Armin Gigovic,Bósnia
19,Kerim Alajbegovic,Bósnia
20,Esmir Bajraktarevic,Bósnia
21,Ermin Mahmic,Bósnia
22,Ermedin Demirovic,Bósnia
23,Jovo Lukic,Bósnia
24,Samed Bazdar,Bósnia
25,Haris Tabakovic,Bósnia
26,Edin Dzeko,Bósnia
1,Alisson,Brasil
2,Ederson,Brasil
3,Weverton,Brasil
4,Alex Sandro,Brasil
5,Bremer,Brasil
6,Danilo,Brasil
7,Douglas Santos,Brasil
8,Gabriel Magalhães,Brasil
9,Ibañez,Brasil
10,Léo Pereira,Brasil
11,Marquinhos,Brasil
12,Bruno Guimarães,Brasil
13,Casemiro,Brasil
14,Danilo Santos,Brasil
15,Éderson,Brasil
16,Fabinho,Brasil
17,Lucas Paquetá,Brasil
18,Endrick,Brasil
19,Gabriel Martinelli,Brasil
20,Igor Thiago,Brasil
21,Luiz Henrique,Brasil
22,Matheus Cunha,Brasil
23,Neymar,Brasil
24,Raphinha,Brasil
25,Rayan,Brasil
26,Vini Jr,Brasil
1,Josimar Dias,Cabo Verde
2,Márcio da Rosa,Cabo Verde
3,Carlos Santos,Cabo Verde
4,Steven Moreira,Cabo Verde
5,Wagner Pina,Cabo Verde
6,Sidny Cabral,Cabo Verde
7,Logan Costa,Cabo Verde
8,Roberto Lopes,Cabo Verde
9,Kelvin Pires,Cabo Verde
10,Ianique Tavares,Cabo Verde
11,Edilson Borges,Cabo Verde
12,Jamiro Monteiro,Cabo Verde
13,Deroy Duarte,Cabo Verde
14,Kevin Pina,Cabo Verde
15,Laros Duarte,Cabo Verde
16,Telmo Arcanjo,Cabo Verde
17,Yannick Semedo,Cabo Verde
18,João Paulo Fernandes,Cabo Verde
19,Garry Rodrigues,Cabo Verde
20,Jovane Cabral,Cabo Verde
21,Ryan Mendes,Cabo Verde
22,Nuno da Costa,Cabo Verde
23,Dailon Livramento,Cabo Verde
24,Gilson Benchimol,Cabo Verde
25,Willy Semedo,Cabo Verde
26,Hélio Varela,Cabo Verde
1,Dayne St. Clair,Canadá
2,Maxim Crépeau,Canadá
3,Owen Goodman,Canadá
4,Alistair Johnston,Canadá
5,Derek Cornelius,Canadá
6,Richie Laryea,Canadá
7,Kiko Sigur,Canadá
8,Joel Waterman,Canadá
9,Luc de Fougerolles,Canadá
10,Moise Bombito,Canadá
11,Alfie Jones,Canadá
12,Alphonso Davies,Canadá
